id,trial,cond,prob,ea1,ea2,ea3,ea4,focal,support1,support2,support3,support4,support5,support6,age,gender,GamesWeek,GamesSeason,SportsNews,ea,strength
1,1,distributional,.2,5,2,6,5,Clippers,85,40,100,75,90,50,24,1,20,100,100,-1,-.75377178
1,2,distributional,.2,5,2,6,5,Clippers,85,40,100,75,90,50,24,1,20,100,100,-1,-.58778667
1,3,distributional,.5,5,2,6,5,Grizzlies,85,40,100,75,90,50,24,1,20,100,100,-1,.28768209
2,1,singular,.60000002,7,4,6,6,Grizzlies,60,20,100,40,60,20,25,1,3,50,4,-.75,1.0986123
2,2,singular,.30000001,7,4,6,6,Clippers,60,20,100,40,60,20,25,1,3,50,4,-.75,-1.0986123
2,3,singular,.34999999,7,4,6,6,Clippers,60,20,100,40,60,20,25,1,3,50,4,-.75,-.91629076
3,1,distributional,.15000001,3,5,4,5,Clippers,80,40,100,85,75,50,24,1,3,42,12,.75,-.69314718
3,2,distributional,.60000002,3,5,4,5,Grizzlies,80,40,100,85,75,50,24,1,3,42,12,.75,.4054651
3,3,distributional,.5,3,5,4,5,Grizzlies,80,40,100,85,75,50,24,1,3,42,12,.75,.16251893
4,1,singular,.69999999,1,5,3,5,Grizzlies,85,75,100,82,80,65,29,1,1,15,20,1.5,.12516314
4,2,singular,.85000002,1,5,3,5,Grizzlies,85,75,100,82,80,65,29,1,1,15,20,1.5,.20763937
4,3,singular,.75,1,5,3,5,Grizzlies,85,75,100,82,80,65,29,1,1,15,20,1.5,.19845094
5,1,distributional,.40000001,5,6,2,5,Clippers,90,70,100,90,80,60,35,1,1,25,4,1,-.25131443
5,2,distributional,.60000002,5,6,2,5,Grizzlies,90,70,100,90,80,60,35,1,1,25,4,1,.28768209
5,3,distributional,.55000001,5,6,2,5,Grizzlies,90,70,100,90,80,60,35,1,1,25,4,1,.10536052
6,1,singular,.80000001,3,5,4,5,Grizzlies,90,25,100,90,75,30,35,1,3,60,10,.75,1.2809339
6,2,singular,.25,3,5,4,5,Clippers,90,25,100,90,75,30,35,1,3,60,10,.75,-.91629076
6,3,singular,.69999999,3,5,4,5,Grizzlies,90,25,100,90,75,30,35,1,3,60,10,.75,.10536052
7,1,distributional,.28,6,5,5,2,Clippers,100,60,93,95,89,50,36,1,3,50,10,-1,-.51082563
7,2,distributional,.74000001,6,5,5,2,Grizzlies,100,60,93,95,89,50,36,1,3,50,10,-1,.57661337
7,3,distributional,.41999999,6,5,5,2,Clippers,100,60,93,95,89,50,36,1,3,50,10,-1,.021277398
8,1,singular,.72000003,5,1,3,5,Grizzlies,90,70,100,85,85,65,45,1,8,160,35,-.5,.25131443
8,2,singular,.40000001,5,1,3,5,Clippers,90,70,100,85,85,65,45,1,8,160,35,-.5,-.268264
8,3,singular,.57999998,5,1,3,5,Grizzlies,90,70,100,85,85,65,45,1,8,160,35,-.5,.16251893
9,1,singular,.89999998,4,5,4,5,Grizzlies,80,10,100,70,60,20,38,1,10,130,30,.5,2.0794415
9,2,singular,.75,4,5,4,5,Grizzlies,80,10,100,70,60,20,38,1,10,130,30,.5,1.0986123
9,3,singular,.69999999,4,5,4,5,Grizzlies,80,10,100,70,60,20,38,1,10,130,30,.5,.35667494
