"V1","V2","V3","V7","V8","V9","V10","cond","game1","game2","game3","outcome1","outcome2","outcome3","Q5","Q1_1(1)","Q1_1(2)","Q2_1(1)","Q2_1(2)","Q4_1(1)","Q4_1(2)","Q6_1","Q6_2","Q6_3","Q6_4","Q7_1","Q7_2","Q7_3","Q7_4","Q7_5","Q7_6","Q9","Q11_1","Q13_1","Q15_1","Q17_1","Q17_2","Q17_3","Q17_4","Q17_5","Q17_6","Q17_7","Q17_8","Q17_9","Q17_10","Q17_11","Q17_12","Q17_13","Q17_14","Q17_15","Q17_16","Q17_17","Q17_18","Q17_19","Q17_20","Q17_21","Q17_22","Q17_23","Q17_24","Q17_25","Q17_26","Q17_27","Q17_28","Q17_29","Q17_30","Q23_1","Q25","Q31",""
"ResponseID","ResponseSet","Name","Status","StartDate","EndDate","Finished","cond","game1","game2","game3","outcome1","outcome2","outcome3","Welcome, and thank you for your participation! This is a UCLA and / UChicago research study on how...","The ${lm://Field/1} will play the ${lm://Field/2} on / ${e://Field/game1}. / What is the probability... (1)-% (0-100)","The ${lm://Field/1} will play the ${lm://Field/2} on / ${e://Field/game1}. / What is the probability... (2)-% (0-100)","The ${lm://Field/1} will play the ${lm://Field/2} on / ${e://Field/game2}. / What is the probability... (1)-% (0-100)","The ${lm://Field/1} will play the ${lm://Field/2} on / ${e://Field/game2}. / What is the probability... (2)-% (0-100)","The ${lm://Field/1} will play the ${lm://Field/2} on / ${e://Field/game3}. / What is the probability... (1)-% (0-100)","The ${lm://Field/1} will play the ${lm://Field/2} on / ${e://Field/game3}. / What is the probability... (2)-% (0-100)","Consider a typical NBA basketball game. Which team will win that / game is ...-... something that has an element of randomness.","Consider a typical NBA basketball game. Which team will win that / game is ...-... knowable in advance, given enough information.","Consider a typical NBA basketball game. Which team will win that / game is ...-... determined by chance factors.","Consider a typical NBA basketball game. Which team will win that / game is ...-... something that well-informed people would agree on.","Listed below are all six NBA teams you responded to earlier in /  this survey. /  /    /  /  First, choose...-Chicago Bulls","Listed below are all six NBA teams you responded to earlier in /  this survey. /  /    /  /  First, choose...-Detroit Pistons","Listed below are all six NBA teams you responded to earlier in /  this survey. /  /    /  /  First, choose...-Memphis Grizzlies","Listed below are all six NBA teams you responded to earlier in /  this survey. /  /    /  /  First, choose...-LA Clippers","Listed below are all six NBA teams you responded to earlier in /  this survey. /  /    /  /  First, choose...-Toronto Raptors","Listed below are all six NBA teams you responded to earlier in /  this survey. /  /    /  /  First, choose...-Charlotte Hornets","Almost Done! Just a few more questions.","On average, how many NBA games per week have you watched or listened to this season? /   -games","Approximately how many NBA games have you watched or listened to so / far this entire season?-games","On average, how many hours per week do you spend reading, watching, or listening to sports / news/c...-hours per week","Which NBA teams do you root for? (check all that apply)-Atlanta Hawks","Which NBA teams do you root for? (check all that apply)-Boston Celtics","Which NBA teams do you root for? (check all that apply)-Charlotte Bobcats","Which NBA teams do you root for? (check all that apply)-Chicago Bulls","Which NBA teams do you root for? (check all that apply)-Cleveland Cavaliers","Which NBA teams do you root for? (check all that apply)-Dallas Mavericks","Which NBA teams do you root for? (check all that apply)-Denver Nuggets","Which NBA teams do you root for? (check all that apply)-Detroit Pistons","Which NBA teams do you root for? (check all that apply)-Golden State Warriors","Which NBA teams do you root for? (check all that apply)-Houston Rockets","Which NBA teams do you root for? (check all that apply)-Indiana Pacers","Which NBA teams do you root for? (check all that apply)-LA Clippers","Which NBA teams do you root for? (check all that apply)-LA Lakers","Which NBA teams do you root for? (check all that apply)-Memphis Grizzlies","Which NBA teams do you root for? (check all that apply)-Miami Heat","Which NBA teams do you root for? (check all that apply)-Milwaukee Bucks","Which NBA teams do you root for? (check all that apply)-Minnesota Timberwolves","Which NBA teams do you root for? (check all that apply)-New Jersey Nets","Which NBA teams do you root for? (check all that apply)-New Orleans Hornets","Which NBA teams do you root for? (check all that apply)-New York Knicks","Which NBA teams do you root for? (check all that apply)-Oklahoma City Thunder","Which NBA teams do you root for? (check all that apply)-Orlando Magic","Which NBA teams do you root for? (check all that apply)-Philadelphia Sixers","Which NBA teams do you root for? (check all that apply)-Phoenix Suns","Which NBA teams do you root for? (check all that apply)-Portland Trail Blazers","Which NBA teams do you root for? (check all that apply)-Sacramento Kings","Which NBA teams do you root for? (check all that apply)-San Antonio Spurs","Which NBA teams do you root for? (check all that apply)-Toronto Raptors","Which NBA teams do you root for? (check all that apply)-Utah Jazz","Which NBA teams do you root for? (check all that apply)-Washington Wizards","What is your age? (U.S. Census, 19 Categories)-years old","What is your gender?","The survey will be complete after clicking the /  continue button below. /  /   /  Feel free to let us kn...",""
"R_40XPBp38OXy9PDf","Default Response Set","Anonymous","0","2015-02-16 12:12:56","2015-02-16 12:15:49","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","","20","","20","50","","5","2","6","5","85","40","100","75","90","50","1","20","100","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","1","",""
"R_engxt5XD9rif54N","Default Response Set","Anonymous","0","2015-02-16 12:12:57","2015-02-16 12:16:14","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","60","","","30","","35","7","4","6","6","60","20","100","40","60","20","1","3","50","4","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","25","1","",""
"R_4MjqzJka21tCFrn","Default Response Set","Anonymous","0","2015-02-16 12:13:42","2015-02-16 12:16:34","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","","15","60","","50","","3","5","4","5","80","40","100","85","75","50","1","3","42","12","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","24","1","",""
"R_0MVGah1LkhQQzQx","Default Response Set","Anonymous","0","2015-02-16 12:13:02","2015-02-16 12:16:36","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","70","","85","","75","","1","5","3","5","85","75","100","82","80","65","1","1","15","20","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","29","1","",""
"R_6DMFbIJMolSjE69","Default Response Set","Anonymous","0","2015-02-16 12:13:32","2015-02-16 12:17:27","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","","40","60","","55","","5","6","2","5","90","70","100","90","80","60","1","1","25","4","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","35","1","",""
"R_5uxgPrRwiJjWsrb","Default Response Set","Anonymous","0","2015-02-16 12:14:19","2015-02-16 12:17:41","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","80","","","25","70","","3","5","4","5","90","25","100","90","75","30","1","3","60","10","1","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","35","1","",""
"R_1H6JTvuMPntBpT7","Default Response Set","Anonymous","0","2015-02-16 12:13:33","2015-02-16 12:17:48","1","aleatory","February 20th, March 21st, and April 3rd","March 6th, April 8th, and April 15th","February 23rd, February 27th, and April 11th","win on <u>March 21st?</u>","win on <u>April 15th?</u>","win on <u>February 23rd?</u>","1","","28","74","","","42","6","5","5","2","100","60","93","95","89","50","1","3","50","10","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","","36","1","",""
"R_3mzi1nMnboU7T7L","Default Response Set","Anonymous","0","2015-02-16 12:13:03","2015-02-16 12:17:58","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","72","","","40","58","","5","1","3","5","90","70","100","85","85","65","1","8","160","35","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","45","1","",""
"R_8zStir6FwBEeLU9","Default Response Set","Anonymous","0","2015-02-16 12:13:28","2015-02-16 12:18:20","1","epistemic","<u>March 21st</u>","<u>April 15th</u>","<u>February 23rd</u>","win?","win?","win?","1","90","","75","","70","","4","5","4","5","80","10","100","70","60","20","1","10","130","30","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","38","1","",""
