id,domain,prob,extremity,umedian,lmedian,p100,dv,support,coeff,ea,brier,resolution,reliability,age,focal,foil,gender,know,target,jp,outcome,pc,diff,bin,Oj,outcomevar
1,temp,.75,.25,.75,,0,1.0986123,.22314355,1.1517913,2,.0625,.096029654,.0064302264,20,100,80,1,7,Temperature B,.75,1,1,.79310346,7,.83018869,.24982373
1,politics,.30000001,.19999999,,.30000001,0,-.84729779,-1.2039728,1.1517913,3.25,.090000004,.048988346,1.0628615e-06,20,30,100,1,,US President B,.69999999,0,1,.72527474,2,.29896906,.24982373
1,crime,.1,.40000001,,.1,0,-2.1972246,-.51082563,1.1517913,5.75,.010000001,.082495019,.017711008,20,60,100,1,6,Crime B,.89999998,0,1,.90816325,0,.23308271,.24982373
1,geography,.89999998,.39999998,.89999998,,0,2.1972244,.22314355,1.1517913,7,.80999994,.030128421,.042486444,20,100,80,1,8,State Size B,.89999998,0,0,.44565219,8,.69387758,.24982373
1,population,.69999999,.19999999,.69999999,,0,.84729779,.22314355,1.1517913,7,.090000004,.0059444718,.01052623,20,100,80,1,5,Population B,.69999999,1,1,.92045456,6,.59740257,.24982373
1,oceans,.80000001,.30000001,.80000001,,0,1.3862945,1.6094379,1.1517913,7,.039999995,.096029654,.00091135636,20,100,20,1,6,Ocean Size A,.80000001,1,1,.88372093,7,.83018869,.24982373
3,rain,.85000002,.35000002,.85000002,,0,1.7346013,.35667494,2.4300797,4,.72250003,.030128421,.024374219,28,100,70,2,2,Rain A,.85000002,0,0,.46067417,8,.69387758,.24982373
3,temp,.44999999,.050000012,,.44999999,0,-.20067075,-.51082563,2.4300797,4.75,.20249999,.003521689,.016808087,28,60,100,2,0,Temperature A,.55000001,0,1,.79310346,4,.57964599,.24982373
3,politics,.64999998,.14999998,.64999998,,0,.61903912,1.0498221,2.4300797,4.25,.12250002,.0059444718,.002766487,28,100,35,2,,US President A,.64999998,1,1,.72527474,6,.59740257,.24982373
3,football,.5,0,,,0,0,.69314718,2.4300797,2.25,.25,.003521689,.0063434839,28,100,50,2,0,Football A,.5,1,0,.62195122,4,.57964599,.24982373
3,crime,1,.5,1,,1,5.978879,1.3862944,2.4300797,3.75,0,.096638076,.028503964,28,100,25,2,10,Crime A,1,1,1,.90816325,9,.83116883,.24982373
3,oceans,1,.5,1,,1,5.978879,.69314718,2.4300797,7,0,.096638076,.028503964,28,100,50,2,8,Ocean Size A,1,1,1,.88372093,9,.83116883,.24982373
4,rain,.5,0,,,0,0,.28768209,1.0706494,2.25,.25,.003521689,.0063434839,35,100,75,2,1,Rain A,.5,0,1,.46067417,4,.57964599,.24982373
4,temp,.5,0,,,0,0,.22314355,1.0706494,4.75,.25,.003521689,.0063434839,35,100,80,2,2,Temperature A,.5,0,0,.79310346,4,.57964599,.24982373
4,baseball,.5,0,,,0,0,-.10536052,1.0706494,2.5,.25,.003521689,.0063434839,35,90,100,2,1,Baseball B,.5,1,1,.60919541,4,.57964599,.24982373
4,housing,.2,.30000001,,.2,0,-1.3862944,.22314355,1.0706494,4.5,.040000003,.076761648,.0018699782,35,100,80,2,1,Housing Prices B,.80000001,0,1,.40697673,1,.24324325,.24982373
4,crime,.1,.40000001,,.1,0,-2.1972246,-1.3862944,1.0706494,4.75,.010000001,.082495019,.017711008,35,25,100,2,3,Crime B,.89999998,0,1,.90816325,0,.23308271,.24982373
4,soccer,.40000001,.099999994,,.40000001,0,-.40546513,-.28768209,1.0706494,2.5,.16000001,.01360313,.000013466764,35,75,100,2,0,Soccer B,.60000002,0,1,.54651165,3,.40366971,.24982373
5,temp,.2,.30000001,,.2,0,-1.3862944,-1.7147985,.65571201,2.75,.040000003,.076761648,.0018699782,44,18,100,2,8,Temperature A,.80000001,0,1,.79310346,1,.24324325,.24982373
5,movies,.5,0,,,0,0,-.51082563,.65571201,3.25,.25,.003521689,.0063434839,44,60,100,2,0,Box Office B,.5,1,0,.71264368,4,.57964599,.24982373
5,housing,.2,.30000001,,.2,0,-1.3862944,2.3025851,.65571201,4,.040000003,.076761648,.0018699782,44,100,10,2,6,Housing Prices B,.80000001,0,1,.40697673,1,.24324325,.24982373
5,geography,.80000001,.30000001,.80000001,,0,1.3862945,2.3025851,.65571201,4,.039999995,.096029654,.00091135636,44,100,10,2,2,State Size A,.80000001,1,1,.44565219,7,.83018869,.24982373
5,population,.0099999998,.49000001,,.0099999998,0,-4.59512,-3.9120231,.65571201,6.6666665,.000099999997,.082495019,.049765896,44,2,100,2,9,Population A,.99000001,0,1,.92045456,0,.23308271,.24982373
5,soccer,.5,0,,,0,0,1.2039728,.65571201,1.75,.25,.003521689,.0063434839,44,100,30,2,5,Soccer B,.5,0,1,.54651165,4,.57964599,.24982373
