"ResponseID","Status","StartDate","EndDate","rain1","rain2","temp1","temp2","political1","political2","football1","football2","baseball1","baseball2","movies1","movies2","housing1","housing2","crime1","crime2","geo1","geo2","pop1","pop2","soccer1","soccer2","ocean1","ocean2","s_chicago","s_minn","s_pitt","s_portland","s_obama","s_romney","s_cardinals","s_49ers","s_spiderman","s_batman","s_atlanta","s_nashville","s_columbus","s_detroit","s_nevada","s_wyoming","s_istanbul","s_shanghai","s_italy","s_germany","s_atlantic","s_indian","s_cubs","s_dodgers","e_rain1","e_rain2","e_rain3","e_rain4","e_rain5","e_rain6","e_rain7","e_rain8","e_temp1","e_temp2","e_temp3","e_temp4","e_temp5","e_temp6","e_temp7","e_temp8","e_politics1","e_politics2","e_politics3","e_politics4","e_politics5","e_politics6","e_politics7","e_politics8","e_football1","e_football2","e_football3","e_football4","e_football5","e_football6","e_football7","e_football8","e_baseball1","e_baseball2","e_baseball3","e_baseball4","e_baseball5","e_baseball6","e_baseball7","e_baseball8","e_movies1","e_movies2","e_movies3","e_movies4","e_movies5","e_movies6","e_movies7","e_movies8","e_housing1","e_housing2","e_housing3","e_housing4","e_housing5","e_housing6","e_housing7","e_housing8","e_crime1","e_crime2","e_crime3","e_crime4","e_crime5","e_crime6","e_crime7","e_crime8","e_geo1","e_geo2","e_geo3","e_geo4","e_geo5","e_geo6","e_geo7","e_geo8","e_pop1","e_pop2","e_pop3","e_pop4","e_pop5","e_pop6","e_pop7","e_pop8","e_soccer1","e_soccer2","e_soccer3","e_soccer4","e_soccer5","e_soccer6","e_soccer7","e_soccer8","e_ocean1","e_ocean2","e_ocean3","e_ocean4","e_ocean5","e_ocean6","e_ocean7","e_ocean8","k_rain","k_rain","k_temp","k_temp","k_presiden","k_presiden","k_football","k_football","k_baseball","k_baseball","k_movies","k_movies","k_housing","k_housing","k_crime","k_crime","k_geo","k_geo","k_populat","k_populat","k_soccer","k_soccer","k_ocean","k_ocean","dcheck1","dcheck2_1","dcheck2_2","dcheck2_3","dcheck2_4","dcheck2_5","dcheck2_6","dcheck2_7","dcheck2_8","dcheck2_9","dcheck2_10","age","gender","outside_sources","comments","target1","target2","target3","target4","target5","target6","target7","target8","target9","target10","target11","target12","block1","block2","block3","block4","block5","block6"
"R_0BxyjVlFZCRfKqo","0","6/7/12 19:23","6/7/12 19:27","","50","","","","","","","","70","","80","","","","","","","0","","","78","","60","100","0","","","","","","","0","100","","","","","","","50","100","100","0","50","100","100","0","","","","","3","4","5","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","3","4","4","","","","","3","4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","5","4","3","3","","","","","","","","","6","5","4","3","","","","","2","4","4","4","","5","","","","","","","","6","","8","","","","","","","4","","","5","","7","1","","","","","","","1","1","","","21","2","2","","Rain B","","","","Baseball B","Box Office B","","","","Population A","Soccer B","Ocean Size B","soccer","population","baseball","movies","ocean","rain"
"R_5gyl7OgjO4vohJq","0","6/7/12 19:23","6/7/12 19:28","","","","75","","30","","","","","","","","","","10","","90","","70","","","80","","","","100","80","100","30","","","","","","","60","100","80","100","80","100","","","100","20","","","","","","","","","","","","","","","2","6","1","5","","","","","3","5","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","3","6","2","","","","","7","1","7","1","","","","","7","1","7","1","","","","","","","","","7","1","7","1","","","","","","","","8","","5","","","","","","","","","","7","","9","","6","","","7","","2","","","","","","","","","","","20","1","2","","","Temperature B","US President B","","","","","Crime B","State Size B","Population B","","Ocean Size A","population","ocean","temp","state size","politics","crime"
"R_08HuxYXfOppu21K","0","6/7/12 19:24","6/7/12 19:29","","","","","","","","","50","","","50","10","","","","","50","15","","","","","25","","","","","","","","","100","50","50","100","","","100","50","50","100","","","25","100","100","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3","3","5","","","","","","","","","4","4","3","4","4","4","3","2","","","","","","","","","","","","","","","","","4","4","3","5","4","4","4","4","","","","","","","","","","","","","","","","","3","4","4","2","","","","","","","","","1","","","3","1","","","","","1","1","","","","","1","2","","","","","","","","","","","29","1","2","no","","","","","Baseball A","Box Office B","Housing Prices A","","State Size B","Population A","","Ocean Size B","baseball","movies","housing","population","ocean","state size"
"R_6zhbwF1nXhSJHda","0","6/7/12 19:23","6/7/12 19:31","85","","45","","65","","50","","","","","","","","100","","","","","","","","100","","100","70","100","60","100","35","50","100","","","","","25","100","","","","","","","100","50","","","7","4","1","4","","","","","7","4","1","1","","","","","6","2","1","4","","","","","1","4","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","1","7","1","","","","","3","","1","","6","","1","","","","","","","","11","","","","","","","","9","","2","","","","","","","","","","","28","2","2","","Rain A","Temperature A","US President A","Football A","","","","Crime A","","","","Ocean Size A","football","ocean","rain","temp","crime","politics"
"R_9Sjy36KGByynSrG","0","6/7/12 19:25","6/7/12 19:33","50","","50","","","","","","","50","","","","20","","10","","","","","","40","","","100","75","80","100","","","","","","","100","80","25","100","","","","","100","75","","","100","90","3","7","2","5","","","","","5","3","4","3","","","","","","","","","","","","","","","","","","","","","","","","","2","5","2","5","","","","","","","","","","","","","5","4","4","3","","","","","5","3","4","3","","","","","","","","","","","","","","","","","","","","","2","5","2","5","","","","","","","","","2","","3","","","","","","","2","","","","2","","4","","","","","","1","","","2","","","","","","","","","","","35","2","2","No comments","Rain A","Temperature A","","","Baseball B","","Housing Prices B","Crime B","","","Soccer B","","temp","baseball","soccer","rain","housing","crime"
"R_cC2i2911Y8YhTCI","0","6/7/12 19:23","6/7/12 19:33","","","20","","","","","","","","","50","","20","","","80","","1","","","50","","","","","100","18","","","","","100","60","100","10","","","100","10","2","100","30","100","","","","","","","","","","","","","5","5","1","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","3","6","","","","","5","5","4","4","","","","","","","","","4","2","1","3","","","","","6","1","","1","","","","","","","","","1","5","1","6","","","","","","","","","","","9","","","","","","","","","1","","7","","","3","","10","","","6","","","2","","","","","","","","","","","44","2","2","","","Temperature A","","","","Box Office B","Housing Prices B","","State Size A","Population A","Soccer B","","temp","state size","housing","population","movies","soccer"
"R_20rXG5bJMy4urkw","0","6/7/12 19:23","6/7/12 19:33","","50","","","50","","","50","75","","","","50","","80","","","","","","","","","","75","100","","","20","100","100","50","","","100","50","20","100","","","","","","","","","100","35","","","","","2","7","1","3","","","","","","","","","4","6","4","7","","","","","","","","","7","7","5","7","5","7","4","7","","","","","","","","","","","","","7","7","5","7","","","","","7","7","6","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","1","","","1","1","","","","4","","6","","","","","","","","","","2","","","","","","","","","","","18","1","2","no","Rain B","","US President A","Football B","Baseball A","","Housing Prices A","Crime A","","","","","housing","football","rain","crime","baseball","politics"
"R_7QhWrTjlEN1LfIo","0","6/7/12 19:24","6/7/12 19:33","","","","","","","50","","","","","","","95","","","60","","","95","50","","","30","","","","","","","60","100","","","100","70","","","100","90","60","100","95","100","100","65","","","","","","","","","","","","","","","","","","","","","","","","","","","1","4","1","3","","","","","","","","","","","","","","","","","","","","","","","","","6","4","1","4","","","","","","","","","7","1","7","1","","","","","","","","","7","1","7","1","1","4","1","5","","","","","","","","","7","1","7","1","","","","","","","7","","","","","","","10","","","8","","","9","3","","","8","2","","","","","","","","","","","41","2","2","","","","","Football A","","","Housing Prices B","","State Size A","Population B","Soccer A","Ocean Size B","housing","state size","population","football","ocean","soccer"
"R_6g5t93tRPT2OaAA","0","6/7/12 19:27","6/7/12 19:33","","","","90","","","","15","","","","40","","","","","","0","","","","50","","0","","","100","0","","","0","100","100","40","","","","","0","100","","","0","100","100","0","","","","","","","","","","","","","","","5","2","5","2","","","","","","","","","","","","","1","7","1","7","","","","","","","","","","","","","1","7","1","7","","","","","","","","","","","","","","","","","","","","","6","2","6","2","","","","","","","","","","","","","1","7","1","7","","","","","5","3","5","2","","","","8","","","","3","","","","5","","","","","","5","","","","4","","8","2","","","","","","","","","","","57","2","2","Interesting","","Temperature B","","Football B","","Box Office B","","","State Size B","","Soccer B","Ocean Size B","football","temp","state size","movies","ocean","soccer"
"R_29OZlMr3oAaeTc0","0","6/7/12 19:27","6/7/12 19:34","","","","50","","","","45","","75","","","","90","","","","20","","","35","","","","","","100","75","","","90","100","","","100","80","","","100","85","","","65","100","","","65","100","","","","","","","","","","","","","6","5","4","5","","","","","","","","","","","","","1","6","4","5","","","","","1","5","1","5","","","","","","","","","","","","","3","5","4","6","","","","","","","","","","","","","7","1","7","1","","","","","","","","","2","7","1","7","","","","","","","","","","","","","","","","6","","","","3","","7","","","","5","","","","5","","","11","","","","2","","","","","","","","","","","33","1","2","none","","Temperature B","","Football B","Baseball B","","Housing Prices B","","State Size B","","Soccer A","","housing","temp","state size","football","baseball","soccer"
