id,trial,domain,question,prob,extremity,upper,lower,p100,dv,support,epistemicness,support_focal,support_foil,knowledge,focal,foil,targetA,targetB,age,gender,coeff
1,1,0,8,.75,.25,.75,,0,1.0986123,.44183275,2.7,70,45,65,2,8,Celtics,Thunder,42,1,2.0137138
1,2,0,7,.40000001,.099999994,,.40000001,0,-.40546513,.25131443,2.7,90,70,65,7,2,Spurs,Celtics,42,1,2.0137138
1,3,0,4,.25,.25,,.25,0,-1.0986123,-.36772478,2.7,45,65,65,8,1,Thunder,76ers,42,1,2.0137138
1,4,0,12,.64999998,.14999998,.64999998,,0,.61903912,-.11778303,2.7,80,90,65,4,7,Heat,Spurs,42,1,2.0137138
1,5,0,16,.30000001,.19999999,,.30000001,0,-.84729779,-.28768209,2.7,45,60,65,8,6,Thunder,Pacers,42,1,2.0137138
1,6,0,10,.30000001,.19999999,,.30000001,0,-.84729779,-.18232156,2.7,50,60,65,3,6,Clippers,Pacers,42,1,2.0137138
1,7,0,2,.25,.25,,.25,0,-1.0986123,-.43078291,2.7,65,100,65,1,5,76ers,Lakers,42,1,2.0137138
1,8,0,11,.75,.25,.75,,0,1.0986123,.22314355,2.7,100,80,65,5,4,Lakers,Heat,42,1,2.0137138
1,9,0,15,.5,0,,,0,0,-.4054651,2.7,60,90,65,6,7,Pacers,Spurs,42,1,2.0137138
1,10,0,1,.60000002,.10000002,.60000002,,0,.40546522,.26236427,2.7,65,50,65,1,3,76ers,Clippers,42,1,2.0137138
1,11,0,9,.40000001,.099999994,,.40000001,0,-.40546513,-.47000363,2.7,50,80,65,3,4,Clippers,Heat,42,1,2.0137138
1,12,0,3,.40000001,.099999994,,.40000001,0,-.40546513,-.32542241,2.7,65,90,65,1,7,76ers,Spurs,42,1,2.0137138
1,13,0,13,.1,.40000001,,.1,0,-2.1972246,-.57536417,2.7,45,80,65,8,4,Thunder,Heat,42,1,2.0137138
1,14,0,14,.40000001,.099999994,,.40000001,0,-.40546513,-.51082563,2.7,60,100,65,6,5,Pacers,Lakers,42,1,2.0137138
1,15,0,6,.75,.25,.75,,0,1.0986123,.35667494,2.7,100,70,65,5,2,Lakers,Celtics,42,1,2.0137138
1,16,0,5,.60000002,.10000002,.60000002,,0,.40546522,.33647224,2.7,70,50,65,2,3,Celtics,Clippers,42,1,2.0137138
1,17,2,3,.60000002,.10000002,.60000002,,0,.40546522,.37948963,7,95,65,70,7,1,New Mexico,Georgia,42,1,4.4312797
1,18,2,14,0,.5,,0,1,-4.2626801,-.33647224,7,50,70,70,5,8,Massachusetts,Wisconsin,42,1,4.4312797
1,19,2,9,.94999999,.44999999,.94999999,,0,2.9444387,.18232156,7,60,50,70,3,5,Kansas,Massachusetts,42,1,4.4312797
1,20,2,4,1,.5,1,,1,4.2626796,.074107975,7,70,65,70,8,1,Wisconsin,Georgia,42,1,4.4312797
1,21,2,15,.5,0,,,0,0,-.051293295,7,95,100,70,7,6,New Mexico,Montana,42,1,4.4312797
1,22,2,8,.25,.25,,.25,0,-1.0986123,-.24116206,7,55,70,70,2,8,Idaho,Wisconsin,42,1,4.4312797
1,23,2,7,.5,0,,,0,0,-.54654372,7,55,95,70,2,7,Idaho,New Mexico,42,1,4.4312797
1,24,2,6,.25,.25,,.25,0,-1.0986123,-.20067069,7,45,55,70,4,2,Maryland,Idaho,42,1,4.4312797
1,25,2,16,.75,.25,.75,,0,1.0986123,.35667494,7,100,70,70,6,8,Montana,Wisconsin,42,1,4.4312797
1,26,2,13,.94999999,.44999999,.94999999,,0,2.9444387,.64185387,7,95,50,70,7,5,New Mexico,Massachusetts,42,1,4.4312797
1,27,2,10,.5,0,,,0,0,.51082563,7,100,60,70,6,3,Montana,Kansas,42,1,4.4312797
1,28,2,2,0,.5,,0,1,-4.2626801,-.36772478,7,45,65,70,4,1,Maryland,Georgia,42,1,4.4312797
1,29,2,12,1,.5,1,,1,4.2626796,.79850769,7,100,45,70,6,4,Montana,Maryland,42,1,4.4312797
1,30,2,11,.5,0,,,0,0,.10536052,7,50,45,70,5,4,Massachusetts,Maryland,42,1,4.4312797
1,31,2,5,.5,0,,,0,0,.087011375,7,60,55,70,3,2,Kansas,Idaho,42,1,4.4312797
1,32,2,1,.60000002,.10000002,.60000002,,0,.40546522,-.080042705,7,60,65,70,3,1,Kansas,Georgia,42,1,4.4312797
1,33,1,13,.25,.25,,.25,0,-1.0986123,-.22314355,2.9000001,80,100,60,4,5,Memphis,Miami,42,1,2.8887105
1,34,1,12,.75,.25,.75,,0,1.0986123,.22314355,2.9000001,75,60,60,3,8,Los Angeles,San Francisco,42,1,2.8887105
1,35,1,11,.5,0,,,0,0,-.18232156,2.9000001,75,90,60,3,7,Los Angeles,New Orleans,42,1,2.8887105
1,36,1,8,.25,.25,,.25,0,-1.0986123,-.18232156,2.9000001,50,60,60,2,8,Buffalo,San Francisco,42,1,2.8887105
1,37,1,15,.5,0,,,0,0,-.11778303,2.9000001,80,90,60,4,7,Memphis,New Orleans,42,1,2.8887105
1,38,1,5,.94999999,.44999999,.94999999,,0,2.9444387,.69314718,2.9000001,100,50,60,5,2,Miami,Buffalo,42,1,2.8887105
1,39,1,10,.94999999,.44999999,.94999999,,0,2.9444387,.4054651,2.9000001,75,50,60,3,6,Los Angeles,Minneapolis,42,1,2.8887105
1,40,1,4,.40000001,.099999994,,.40000001,0,-.40546513,-.45953232,2.9000001,60,95,60,8,1,San Francisco,Atlanta,42,1,2.8887105
1,41,1,3,.5,0,,,0,0,-.054067221,2.9000001,90,95,60,7,1,New Orleans,Atlanta,42,1,2.8887105
1,42,1,9,.60000002,.10000002,.60000002,,0,.40546522,.28768209,2.9000001,100,75,60,5,3,Miami,Los Angeles,42,1,2.8887105
1,43,1,14,.25,.25,,.25,0,-1.0986123,-.47000363,2.9000001,50,80,60,6,4,Minneapolis,Memphis,42,1,2.8887105
1,44,1,6,.5,0,,,0,0,0,2.9000001,50,50,60,2,6,Buffalo,Minneapolis,42,1,2.8887105
1,45,1,2,.25,.25,,.25,0,-1.0986123,-.64185387,2.9000001,50,95,60,6,1,Minneapolis,Atlanta,42,1,2.8887105
1,46,1,1,.5,0,,,0,0,.051293295,2.9000001,100,95,60,5,1,Miami,Atlanta,42,1,2.8887105
1,47,1,7,.75,.25,.75,,0,1.0986123,.58778667,2.9000001,90,50,60,7,2,New Orleans,Buffalo,42,1,2.8887105
1,48,1,16,.40000001,.099999994,,.40000001,0,-.40546513,-.28768209,2.9000001,60,80,60,8,4,San Francisco,Memphis,42,1,2.8887105
2,1,1,10,.050000001,.44999999,,.050000001,0,-2.9444389,-.58778667,2.3,50,90,25,6,3,Minneapolis,Los Angeles,30,1,2.6976259
2,2,1,13,.2,.30000001,,.2,0,-1.3862944,-.28768209,2.3,75,100,25,4,5,Memphis,Miami,30,1,2.6976259
2,3,1,7,.85000002,.35000002,.85000002,,0,1.7346013,.68309683,2.3,99,50,25,7,2,New Orleans,Buffalo,30,1,2.6976259
2,4,1,11,.5,0,,,0,0,.095310181,2.3,99,90,25,7,3,New Orleans,Los Angeles,30,1,2.6976259
2,5,1,1,.69999999,.19999999,.69999999,,0,.84729779,.10536052,2.3,100,90,25,5,1,Miami,Atlanta,30,1,2.6976259
2,6,1,3,.5,0,,,0,0,.095310181,2.3,99,90,25,7,1,New Orleans,Atlanta,30,1,2.6976259
2,7,1,6,.5,0,,,0,0,0,2.3,50,50,25,2,6,Buffalo,Minneapolis,30,1,2.6976259
2,8,1,9,.69999999,.19999999,.69999999,,0,.84729779,.10536052,2.3,100,90,25,5,3,Miami,Los Angeles,30,1,2.6976259
2,9,1,12,.34999999,.15000001,,.34999999,0,-.61903918,-.057158414,2.3,85,90,25,8,3,San Francisco,Los Angeles,30,1,2.6976259
2,10,1,15,.68000001,.18000001,.68000001,,0,.75377184,.27763173,2.3,99,75,25,7,4,New Orleans,Memphis,30,1,2.6976259
2,11,1,2,.30000001,.19999999,,.30000001,0,-.84729779,-.58778667,2.3,50,90,25,6,1,Minneapolis,Atlanta,30,1,2.6976259
2,12,1,4,.40000001,.099999994,,.40000001,0,-.40546513,-.057158414,2.3,85,90,25,8,1,San Francisco,Atlanta,30,1,2.6976259
2,13,1,8,.60000002,.10000002,.60000002,,0,.40546522,.53062826,2.3,85,50,25,8,2,San Francisco,Buffalo,30,1,2.6976259
2,14,1,5,.1,.40000001,,.1,0,-2.1972246,-.69314718,2.3,50,100,25,2,5,Buffalo,Miami,30,1,2.6976259
2,15,1,14,.30000001,.19999999,,.30000001,0,-.84729779,-.4054651,2.3,50,75,25,6,4,Minneapolis,Memphis,30,1,2.6976259
2,16,1,16,.5,0,,,0,0,.12516314,2.3,85,75,25,8,4,San Francisco,Memphis,30,1,2.6976259
2,17,0,13,.30000001,.19999999,,.30000001,0,-.84729779,-.095310181,1.8,50,55,65,8,4,Thunder,Heat,30,1,.51526874
2,18,0,9,.5,0,,,0,0,-.33647224,1.8,55,77,65,4,3,Heat,Clippers,30,1,.51526874
2,19,0,11,.5,0,,,0,0,.59783697,1.8,100,55,65,5,4,Lakers,Heat,30,1,.51526874
2,20,0,3,.60000002,.10000002,.60000002,,0,.40546522,-.048790164,1.8,80,84,65,1,7,76ers,Spurs,30,1,.51526874
2,21,0,7,.30000001,.19999999,,.30000001,0,-.84729779,-.068992868,1.8,84,90,65,7,2,Spurs,Celtics,30,1,.51526874
2,22,0,14,.60000002,.10000002,.60000002,,0,.40546522,.35667494,1.8,100,70,65,5,6,Lakers,Pacers,30,1,.51526874
2,23,0,1,.5,0,,,0,0,.038221214,1.8,80,77,65,1,3,76ers,Clippers,30,1,.51526874
2,24,0,2,.46000001,.039999992,,.46000001,0,-.16034256,-.22314355,1.8,80,100,65,1,5,76ers,Lakers,30,1,.51526874
2,25,0,4,.34,.16,,.34,0,-.66329414,-.47000363,1.8,50,80,65,8,1,Thunder,76ers,30,1,.51526874
2,26,0,15,.64999998,.14999998,.64999998,,0,.61903912,-.18232156,1.8,70,84,65,6,7,Pacers,Spurs,30,1,.51526874
2,27,0,16,.34999999,.15000001,,.34999999,0,-.61903918,.33647224,1.8,70,50,65,6,8,Pacers,Thunder,30,1,.51526874
2,28,0,10,.46000001,.039999992,,.46000001,0,-.16034256,.095310181,1.8,77,70,65,3,6,Clippers,Pacers,30,1,.51526874
2,29,0,12,.54000002,.040000021,.54000002,,0,.16034274,.42348361,1.8,84,55,65,7,4,Spurs,Heat,30,1,.51526874
2,30,0,5,.43000001,.069999993,,.43000001,0,-.28185111,-.15600425,1.8,77,90,65,3,2,Clippers,Celtics,30,1,.51526874
2,31,0,6,.23999999,.25999999,,.23999999,0,-1.1526796,.10536052,1.8,100,90,65,5,2,Lakers,Celtics,30,1,.51526874
2,32,0,8,.25999999,.24000001,,.25999999,0,-1.0459687,-.58778667,1.8,50,90,65,8,2,Thunder,Celtics,30,1,.51526874
2,33,2,8,.69999999,.19999999,.69999999,,0,.84729779,.15942773,7,95,81,30,8,2,Wisconsin,Idaho,30,1,2.014163
2,34,2,7,0,.5,,0,1,-4.2626801,.30010459,7,81,60,30,2,7,Idaho,New Mexico,30,1,2.014163
2,35,2,13,1,.5,1,,1,4.2626796,.18232156,7,60,50,30,7,5,New Mexico,Massachusetts,30,1,2.014163
2,36,2,11,.5,0,,,0,0,-.58778667,7,50,90,30,5,4,Massachusetts,Maryland,30,1,2.014163
2,37,2,3,.5,0,,,0,0,.15415068,7,70,60,30,1,7,Georgia,New Mexico,30,1,2.014163
2,38,2,6,.69999999,.19999999,.69999999,,0,.84729779,-.10536052,7,81,90,30,2,4,Idaho,Maryland,30,1,2.014163
2,39,2,2,0,.5,,0,1,-4.2626801,.25131443,7,90,70,30,4,1,Maryland,Georgia,30,1,2.014163
2,40,2,16,.5,0,,,0,0,.051293295,7,100,95,30,6,8,Montana,Wisconsin,30,1,2.014163
2,41,2,15,.5,0,,,0,0,.51082563,7,100,60,30,6,7,Montana,New Mexico,30,1,2.014163
2,42,2,10,.5,0,,,0,0,.32850406,7,100,72,30,6,3,Montana,Kansas,30,1,2.014163
2,43,2,5,.80000001,.30000001,.80000001,,0,1.3862945,-.11778303,7,72,81,30,3,2,Kansas,Idaho,30,1,2.014163
2,44,2,1,.5,0,,,0,0,.028170876,7,72,70,30,3,1,Kansas,Georgia,30,1,2.014163
2,45,2,14,0,.5,,0,1,-4.2626801,-.64185387,7,50,95,30,5,8,Massachusetts,Wisconsin,30,1,2.014163
2,46,2,12,1,.5,1,,1,4.2626796,.10536052,7,100,90,30,6,4,Montana,Maryland,30,1,2.014163
2,47,2,9,0,.5,,0,1,-4.2626801,-.36464313,7,50,72,30,5,3,Massachusetts,Kansas,30,1,2.014163
2,48,2,4,.5,0,,,0,0,.30538166,7,95,70,30,8,1,Wisconsin,Georgia,30,1,2.014163
3,1,0,5,.40000001,.099999994,,.40000001,0,-.40546513,.040273897,4.1999998,76,73,78,2,3,Celtics,Clippers,29,1,2.1338031
3,2,0,11,.40000001,.099999994,,.40000001,0,-.40546513,-.047067512,4.1999998,83,87,78,5,4,Lakers,Heat,29,1,2.1338031
3,3,0,6,.60000002,.10000002,.60000002,,0,.40546522,.088107266,4.1999998,83,76,78,5,2,Lakers,Celtics,29,1,2.1338031
3,4,0,4,.30000001,.19999999,,.30000001,0,-.84729779,-.22612418,4.1999998,67,84,78,1,8,76ers,Thunder,29,1,2.1338031
3,5,0,13,.60000002,.10000002,.60000002,,0,.40546522,.035091318,4.1999998,87,84,78,4,8,Heat,Thunder,29,1,2.1338031
3,6,0,8,.5,0,,,0,0,-.10008346,4.1999998,76,84,78,2,8,Celtics,Thunder,29,1,2.1338031
3,7,0,16,.40000001,.099999994,,.40000001,0,-.40546513,-.11332869,4.1999998,75,84,78,6,8,Pacers,Thunder,29,1,2.1338031
3,8,0,14,.60000002,.10000002,.60000002,,0,.40546522,.1013525,4.1999998,83,75,78,5,6,Lakers,Pacers,29,1,2.1338031
3,9,0,9,.5,0,,,0,0,.17544867,4.1999998,87,73,78,4,3,Heat,Clippers,29,1,2.1338031
3,10,0,2,.60000002,.10000002,.60000002,,0,.40546522,.21414798,4.1999998,83,67,78,5,1,Lakers,76ers,29,1,2.1338031
3,11,0,15,.40000001,.099999994,,.40000001,0,-.40546513,-.039220713,4.1999998,75,78,78,6,7,Pacers,Spurs,29,1,2.1338031
3,12,0,7,.5,0,,,0,0,-.025975486,4.1999998,76,78,78,2,7,Celtics,Spurs,29,1,2.1338031
3,13,0,10,.40000001,.099999994,,.40000001,0,-.40546513,.027028672,4.1999998,75,73,78,6,3,Pacers,Clippers,29,1,2.1338031
3,14,0,3,.5,0,,,0,0,-.15201621,4.1999998,67,78,78,1,7,76ers,Spurs,29,1,2.1338031
3,15,0,1,.5,0,,,0,0,-.085766822,4.1999998,67,73,78,1,3,76ers,Clippers,29,1,2.1338031
3,16,0,12,.60000002,.10000002,.60000002,,0,.40546522,.10919929,4.1999998,87,78,78,4,7,Heat,Spurs,29,1,2.1338031
3,17,2,10,.60000002,.10000002,.60000002,,0,.40546522,.51082563,5,75,45,56,3,6,Kansas,Montana,29,1,2.4119394
3,18,2,13,.60000002,.10000002,.60000002,,0,.40546522,-.03030535,5,65,67,56,5,7,Massachusetts,New Mexico,29,1,2.4119394
3,19,2,8,.40000001,.099999994,,.40000001,0,-.40546513,.085522175,5,61,56,56,2,8,Idaho,Wisconsin,29,1,2.4119394
3,20,2,14,.60000002,.10000002,.60000002,,0,.40546522,.14903557,5,65,56,56,5,8,Massachusetts,Wisconsin,29,1,2.4119394
3,21,2,5,.60000002,.10000002,.60000002,,0,.40546522,.20661426,5,75,61,56,3,2,Kansas,Idaho,29,1,2.4119394
3,22,2,2,.2,.30000001,,.2,0,-1.3862944,-.4956162,5,53,87,56,4,1,Maryland,Georgia,29,1,2.4119394
3,23,2,9,.69999999,.19999999,.69999999,,0,.84729779,-.14310084,5,65,75,56,5,3,Massachusetts,Kansas,29,1,2.4119394
3,24,2,7,.69999999,.19999999,.69999999,,0,.84729779,-.093818754,5,61,67,56,2,7,Idaho,New Mexico,29,1,2.4119394
3,25,2,3,.1,.40000001,,.1,0,-2.1972246,-.26121551,5,67,87,56,7,1,New Mexico,Georgia,29,1,2.4119394
3,26,2,15,.1,.40000001,,.1,0,-2.1972246,-.39803013,5,45,67,56,6,7,Montana,New Mexico,29,1,2.4119394
3,27,2,11,.19,.31,,.19,0,-1.4500102,.20409536,5,65,53,56,5,4,Massachusetts,Maryland,29,1,2.4119394
3,28,2,4,.1,.40000001,,.1,0,-2.1972246,-.44055644,5,56,87,56,8,1,Wisconsin,Georgia,29,1,2.4119394
3,29,2,16,.1,.40000001,,.1,0,-2.1972246,-.2186892,5,45,56,56,6,8,Montana,Wisconsin,29,1,2.4119394
3,30,2,6,.1,.40000001,,.1,0,-2.1972246,.14058195,5,61,53,56,2,4,Idaho,Maryland,29,1,2.4119394
3,31,2,1,.12,.38,,.12,0,-1.9924302,-.14842001,5,75,87,56,3,1,Kansas,Georgia,29,1,2.4119394
3,32,2,12,.12,.38,,.12,0,-1.9924302,-.16362943,5,45,53,56,6,4,Montana,Maryland,29,1,2.4119394
3,33,1,3,.34,.16,,.34,0,-.66329414,-.15790303,4.1999998,76,89,89,1,7,Atlanta,New Orleans,29,1,1.3348708
3,34,1,9,.34,.16,,.34,0,-.66329414,.24965468,4.1999998,86,67,89,5,3,Miami,Los Angeles,29,1,1.3348708
3,35,1,4,.77999997,.27999997,.77999997,,0,1.2656662,.14107859,4.1999998,76,66,89,1,8,Atlanta,San Francisco,29,1,1.3348708
3,36,1,5,.67000002,.17000002,.67000002,,0,.70818514,.64768481,4.1999998,86,45,89,5,2,Miami,Buffalo,29,1,1.3348708
3,37,1,14,.77999997,.27999997,.77999997,,0,1.2656662,.55961579,4.1999998,56,32,89,4,6,Memphis,Minneapolis,29,1,1.3348708
3,38,1,11,.77999997,.27999997,.77999997,,0,1.2656662,-.28394374,4.1999998,67,89,89,3,7,Los Angeles,New Orleans,29,1,1.3348708
3,39,1,12,.54000002,.040000021,.54000002,,0,.16034274,.015037877,4.1999998,67,66,89,3,8,Los Angeles,San Francisco,29,1,1.3348708
3,40,1,13,.34,.16,,.34,0,-.66329414,-.42899561,4.1999998,56,86,89,4,5,Memphis,Miami,29,1,1.3348708
3,41,1,10,.34,.16,,.34,0,-.66329414,-.73895669,4.1999998,32,67,89,6,3,Minneapolis,Los Angeles,29,1,1.3348708
3,42,1,6,.34,.16,,.34,0,-.66329414,-.34092659,4.1999998,32,45,89,6,2,Minneapolis,Buffalo,29,1,1.3348708
3,43,1,16,.77999997,.27999997,.77999997,,0,1.2656662,.16430305,4.1999998,66,56,89,8,4,San Francisco,Memphis,29,1,1.3348708
