id,question,cond,target,order,prob,extremity,upper,lower,p100,dv,support,epistem,e,a,focal,foil,coeff,jp,outcome,diff,pc,brier,bin,Oj,resolution,reliability,outcomevar,block1_response,block1_correct,block2_response,block2_correct,knowledge,teamA,teamB,age,gender
1,19,2,1,1,0,.5,,0,1,-5.2933049,-.47000363,,,,50,80,7.5160942,1,0,.67021275,1,0,0,.24680851,.054747887,.060914442,.24972601,0,0,0,0,6,New York,San Diego,18,2
1,20,2,1,1,0,.5,,0,1,-5.2933049,-.18232156,,,,50,60,7.5160942,1,0,.46808511,1,0,0,.24680851,.054747887,.060914442,.24972601,0,0,1,1,6,New York,San Francisco,18,2
1,9,2,1,1,1,.5,1,,1,5.2933059,.69314718,,,,100,50,7.5160942,1,1,.81914896,1,0,9,.83333331,.12428596,.027777784,.24972601,0,1,1,0,6,Austin,New York,18,2
1,3,2,1,1,.40000001,.099999994,,.40000001,0,-.40546513,-.095310181,4.6999998,5.1666665,4,50,55,7.5160942,.60000002,0,.72340423,1,.16000001,3,.36690646,.012969728,.0010951825,.24972601,1,1,1,1,6,New York,Albuquerque,18,2
1,14,2,1,1,0,.5,,0,1,-5.2933049,-.64185387,,,,50,95,7.5160942,1,1,.39361703,0,1,0,.24680851,.054747887,.060914442,.24972601,1,0,1,0,6,New York,CO Springs,18,2
1,21,2,1,1,.050000001,.44999999,,.050000001,0,-2.9444389,-.53062826,,,,50,85,7.5160942,.94999999,0,.76595747,1,.0025000002,0,.24680851,.054747887,.03873359,.24972601,1,1,1,1,6,New York,Tulsa,18,2
1,22,2,1,1,.15000001,.34999999,,.15000001,0,-1.734601,-.53062826,,,,50,85,7.5160942,.85000002,0,.68085104,1,.022500001,1,.31277534,.02822932,.026495811,.24972601,1,1,0,0,6,New York,Wichita,18,2
1,23,2,1,1,.30000001,.19999999,,.30000001,0,-.84729779,-.28768209,,,,60,80,7.5160942,.69999999,0,.87234044,1,.090000004,2,.30627307,.030456567,.000039351296,.24972601,0,0,0,0,6,San Francisco,San Diego,18,2
1,10,2,1,1,.80000001,.30000001,.80000001,,0,1.3862945,.22314355,,,,100,80,7.5160942,.80000001,1,.78723407,1,.039999995,7,.7280702,.061146915,.0051738978,.24972601,1,0,1,0,6,Austin,San Diego,18,2
1,4,2,1,1,.74000001,.24000001,.74000001,,0,1.0459687,.37469345,,,,80,55,7.5160942,.74000001,1,.34042552,1,.067599997,7,.7280702,.061146915,.00014232036,.24972601,1,0,1,0,6,San Diego,Albuquerque,18,2
1,15,2,1,1,1,.5,1,,1,5.2933059,.17185026,,,,95,80,7.5160942,1,0,.62765956,0,1,9,.83333331,.12428596,.027777784,.24972601,1,1,1,1,6,CO Springs,San Diego,18,2
1,24,2,1,1,.69999999,.19999999,.69999999,,0,.84729779,-.060624622,,,,80,85,7.5160942,.69999999,1,.60638297,1,.090000004,6,.69230771,.044739246,.000059171132,.24972601,1,1,1,1,6,San Diego,Tulsa,18,2
1,25,2,1,1,.80000001,.30000001,.80000001,,0,1.3862945,.060624622,,,,85,80,7.5160942,.80000001,0,.63440859,0,.64000005,7,.7280702,.061146915,.0051738978,.24972601,0,0,1,1,6,Wichita,San Diego,18,2
1,11,2,1,1,1,.5,1,,1,5.2933059,.51082563,,,,100,60,7.5160942,1,1,.78723407,1,0,9,.83333331,.12428596,.027777784,.24972601,1,1,1,1,6,Austin,San Francisco,18,2
1,5,2,1,1,.55000001,.050000012,.55000001,,0,.20067075,.087011375,,,,60,55,7.5160942,.55000001,0,.77659577,0,.30250001,5,.54545456,.0041813534,.000020661118,.24972601,0,1,1,0,6,San Francisco,Albuquerque,18,2
1,16,2,1,1,0,.5,,0,1,-5.2933049,-.45953232,,,,60,95,7.5160942,1,1,.34408602,0,1,0,.24680851,.054747887,.060914442,.24972601,1,1,1,1,6,San Francisco,CO Springs,18,2
1,26,2,1,1,.2,.30000001,,.2,0,-1.3862944,-.34830669,5.3000002,5.6666665,3.25,60,85,7.5160942,.80000001,0,.68085104,1,.040000003,1,.31277534,.02822932,.012718277,.24972601,0,1,1,0,6,San Francisco,Tulsa,18,2
1,27,2,1,1,.64999998,.14999998,.64999998,,0,.61903912,.34830669,,,,85,60,7.5160942,.64999998,1,.76595747,1,.12250002,6,.69230771,.044739246,.0017899444,.24972601,1,1,1,1,6,Wichita,San Francisco,18,2
1,1,2,1,1,1,.5,1,,1,5.2933059,.59783697,,,,100,55,7.5160942,1,1,.49462366,1,0,9,.83333331,.12428596,.027777784,.24972601,1,1,0,0,6,Austin,Albuquerque,18,2
1,8,2,1,1,.69999999,.19999999,.69999999,,0,.84729779,-.051293295,,,,95,100,7.5160942,.69999999,0,.72340423,0,.48999998,6,.69230771,.044739246,.000059171132,.24972601,1,1,1,1,6,CO Springs,Austin,18,2
1,12,2,1,1,.2,.30000001,,.2,0,-1.3862944,-.16251893,,,,85,100,7.5160942,.80000001,0,.80851066,1,.040000003,1,.31277534,.02822932,.012718277,.24972601,0,1,0,1,6,Tulsa,Austin,18,2
1,13,2,1,1,.85000002,.35000002,.85000002,,0,1.7346013,.16251893,,,,100,85,7.5160942,.85000002,1,.71276593,1,.022499993,8,.76623374,.081477456,.0070167901,.24972601,0,1,1,0,6,Austin,Wichita,18,2
1,2,2,1,1,0,.5,,0,1,-5.2933049,-.54654372,6.4000001,6,1,55,95,7.5160942,1,1,.60638297,0,1,0,.24680851,.054747887,.060914442,.24972601,0,0,1,1,6,Albuquerque,CO Springs,18,2
1,6,2,1,1,.2,.30000001,,.2,0,-1.3862944,-.43531808,,,,55,85,7.5160942,.80000001,0,.57446808,1,.040000003,1,.31277534,.02822932,.012718277,.24972601,1,1,1,1,6,Albuquerque,Tulsa,18,2
1,7,2,1,1,.30000001,.19999999,,.30000001,0,-.84729779,-.43531808,,,,55,85,7.5160942,.69999999,1,.65957445,0,.48999998,2,.30627307,.030456567,.000039351296,.24972601,1,1,1,1,6,Albuquerque,Wichita,18,2
1,17,2,1,1,.2,.30000001,,.2,0,-1.3862944,-.11122563,,,,85,95,7.5160942,.80000001,1,.59574467,0,.63999999,1,.31277534,.02822932,.012718277,.24972601,0,0,0,0,6,Tulsa,CO Springs,18,2
1,18,2,1,1,.31999999,.18000001,,.31999999,0,-.75377184,-.11122563,,,,85,95,7.5160942,.68000001,1,.52127659,0,.46240002,3,.36690646,.012969728,.002200217,.24972601,0,1,1,0,6,Wichita,CO Springs,18,2
1,28,2,1,1,.60000002,.10000002,.60000002,,0,.40546522,0,,,,85,85,7.5160942,.60000002,0,.47872341,0,.36000001,5,.54545456,.0041813534,.0029752075,.24972601,1,1,1,1,6,Wichita,Tulsa,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,0,1,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,1,1,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,1,1,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,1,0,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,1,1,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,0,1,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,1,1,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,0,1,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,0,0,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,0,1,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,1,1,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,0,1,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,0,1,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,1,0,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,1,0,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,1,0,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,1,1,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,1,1,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,1,0,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,0,0,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,0,1,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,1,1,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,1,0,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,0,1,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,1,0,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,0,0,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,0,1,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,1,1,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,0,1,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,0,0,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,1,1,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,1,1,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,1,0,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,0,0,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,1,1,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,1,1,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,1,1,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,0,1,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,0,0,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,0,1,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,1,0,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,0,1,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,1,0,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,1,0,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,1,1,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,0,1,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,1,1,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,1,1,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,0,0,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,1,1,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,0,1,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,0,0,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,1,1,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,0,1,1,0,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,1,1,1,6,,,18,2
1,,2,1,1,,,,,0,,,,,,,,7.5160942,,,,,,,,,,.24972601,1,1,1,1,6,,,18,2
3,19,1,0,1,1,.5,1,,1,5.2933059,.28768209,,,,80,60,1.2940297,1,1,.67021275,1,0,9,.83333331,.12428596,.027777784,.24972601,0,0,0,0,3,San Diego,New York,22,2
3,20,1,0,1,.80000001,.30000001,.80000001,,0,1.3862945,-.69314718,,,,30,60,1.2940297,.80000001,1,.46808511,1,.039999995,7,.7280702,.061146915,.0051738978,.24972601,1,1,1,1,3,San Francisco,New York,22,2
3,9,1,0,1,0,.5,,0,1,-5.2933049,-.51082563,,,,60,100,1.2940297,1,0,.81914896,1,0,0,.24680851,.054747887,.060914442,.24972601,1,0,1,0,3,New York,Austin,22,2
3,3,1,0,1,.89999998,.39999998,.89999998,,0,2.1972244,.51082563,,,,100,60,1.2940297,.89999998,1,.72340423,1,.010000004,8,.76623374,.081477456,.017893406,.24972601,0,0,1,1,3,Albuquerque,New York,22,2
3,14,1,0,1,.64999998,.14999998,.64999998,,0,.61903912,.15415068,,,,70,60,1.2940297,.64999998,0,.39361703,0,.42249995,6,.69230771,.044739246,.0017899444,.24972601,1,0,0,1,3,CO Springs,New York,22,2
3,21,1,0,1,.75,.25,.75,,0,1.0986123,.28768209,,,,80,60,1.2940297,.75,1,.76595747,1,.0625,7,.7280702,.061146915,.00048091615,.24972601,0,0,1,1,3,Tulsa,New York,22,2
3,22,1,0,1,.75,.25,.75,,0,1.0986123,.15415068,6.4000001,6.8333335,2.25,70,60,1.2940297,.75,1,.68085104,1,.0625,7,.7280702,.061146915,.00048091615,.24972601,0,0,1,1,3,Wichita,New York,22,2
3,23,1,0,1,.89999998,.39999998,.89999998,,0,2.1972244,.98082924,,,,80,30,1.2940297,.89999998,1,.87234044,1,.010000004,8,.76623374,.081477456,.017893406,.24972601,1,1,1,1,3,San Diego,San Francisco,22,2
3,10,1,0,1,.1,.40000001,,.1,0,-2.1972246,-.22314355,,,,80,100,1.2940297,.89999998,0,.78723407,1,.010000001,0,.24680851,.054747887,.02155274,.24972601,1,0,1,0,3,San Diego,Austin,22,2
3,4,1,0,1,.5,0,,,0,0,.22314355,,,,100,80,1.2940297,.5,0,.34042552,0,.25,4,.44515103,.0012702199,.0030084094,.24972601,1,0,1,0,3,Albuquerque,San Diego,22,2
3,15,1,0,1,.1,.40000001,,.1,0,-2.1972246,.13353139,,,,80,70,1.2940297,.89999998,1,.62765956,0,.81,0,.24680851,.054747887,.02155274,.24972601,1,1,1,1,3,San Diego,CO Springs,22,2
3,24,1,0,1,.75,.25,.75,,0,1.0986123,0,,,,80,80,1.2940297,.75,0,.60638297,0,.5625,7,.7280702,.061146915,.00048091615,.24972601,0,0,0,0,3,Tulsa,San Diego,22,2
3,25,1,0,1,.5,0,,,0,0,.13353139,6.1999998,6.5,2.25,80,70,1.2940297,.5,1,.63440859,1,.25,4,.44515103,.0012702199,.0030084094,.24972601,0,0,1,1,3,San Diego,Wichita,22,2
3,11,1,0,1,.64999998,.14999998,.64999998,,0,.61903912,-1.2039728,,,,30,100,1.2940297,.64999998,0,.78723407,0,.42249995,6,.69230771,.044739246,.0017899444,.24972601,0,0,0,0,3,San Francisco,Austin,22,2
3,5,1,0,1,.69999999,.19999999,.69999999,,0,.84729779,1.2039728,,,,100,30,1.2940297,.69999999,1,.77659577,1,.090000004,6,.69230771,.044739246,.000059171132,.24972601,0,1,1,0,3,Albuquerque,San Francisco,22,2
3,16,1,0,1,.60000002,.10000002,.60000002,,0,.40546522,.84729785,,,,70,30,1.2940297,.60000002,0,.34408602,0,.36000001,5,.54545456,.0041813534,.0029752075,.24972601,1,1,0,0,3,CO Springs,San Francisco,22,2
3,26,1,0,1,.80000001,.30000001,.80000001,,0,1.3862945,.98082924,,,,80,30,1.2940297,.80000001,1,.68085104,1,.039999995,7,.7280702,.061146915,.0051738978,.24972601,1,0,1,0,3,Tulsa,San Francisco,22,2
3,27,1,0,1,.80000001,.30000001,.80000001,,0,1.3862945,-.84729785,,,,30,70,1.2940297,.80000001,0,.76595747,0,.64000005,7,.7280702,.061146915,.0051738978,.24972601,1,1,1,1,3,San Francisco,Wichita,22,2
3,1,1,0,1,.1,.40000001,,.1,0,-2.1972246,0,,,,100,100,1.2940297,.89999998,0,.49462366,1,.010000001,0,.24680851,.054747887,.02155274,.24972601,1,1,0,0,3,Albuquerque,Austin,22,2
3,8,1,0,1,.5,0,,,0,0,.35667494,,,,100,70,1.2940297,.5,1,.72340423,0,.25,4,.44515103,.0012702199,.0030084094,.24972601,1,1,0,0,3,Austin,CO Springs,22,2
3,12,1,0,1,.69999999,.19999999,.69999999,,0,.84729779,.22314355,5.9000001,6.5,3,100,80,1.2940297,.69999999,1,.80851066,1,.090000004,6,.69230771,.044739246,.000059171132,.24972601,0,1,1,0,3,Austin,Tulsa,22,2
3,13,1,0,1,.40000001,.099999994,,.40000001,0,-.40546513,-.35667494,,,,70,100,1.2940297,.60000002,0,.71276593,1,.16000001,3,.36690646,.012969728,.0010951825,.24972601,0,1,0,1,3,Wichita,Austin,22,2
3,2,1,0,1,.1,.40000001,,.1,0,-2.1972246,-.35667494,,,,70,100,1.2940297,.89999998,0,.60638297,1,.010000001,0,.24680851,.054747887,.02155274,.24972601,1,1,1,1,3,CO Springs,Albuquerque,22,2
3,6,1,0,1,.40000001,.099999994,,.40000001,0,-.40546513,-.22314355,,,,80,100,1.2940297,.60000002,0,.57446808,1,.16000001,3,.36690646,.012969728,.0010951825,.24972601,0,0,1,1,3,Tulsa,Albuquerque,22,2
3,7,1,0,1,.2,.30000001,,.2,0,-1.3862944,-.35667494,,,,70,100,1.2940297,.80000001,0,.65957445,1,.040000003,1,.31277534,.02822932,.012718277,.24972601,1,1,1,1,3,Wichita,Albuquerque,22,2
3,17,1,0,1,0,.5,,0,1,-5.2933049,-.13353139,,,,70,80,1.2940297,1,0,.59574467,1,0,0,.24680851,.054747887,.060914442,.24972601,0,0,1,1,3,CO Springs,Tulsa,22,2
3,18,1,0,1,.60000002,.10000002,.60000002,,0,.40546522,0,,,,70,70,1.2940297,.60000002,0,.52127659,0,.36000001,5,.54545456,.0041813534,.0029752075,.24972601,1,0,1,0,3,CO Springs,Wichita,22,2
3,28,1,0,1,.40000001,.099999994,,.40000001,0,-.40546513,.13353139,,,,80,70,1.2940297,.60000002,1,.47872341,0,.35999998,3,.36690646,.012969728,.0010951825,.24972601,1,1,1,1,3,Tulsa,Wichita,22,2
3,,1,0,1,,,,,0,,,,,,,,1.2940297,,,,,,,,,,.24972601,0,1,1,0,3,,,22,2
3,,1,0,1,,,,,0,,,,,,,,1.2940297,,,,,,,,,,.24972601,0,0,0,0,3,,,22,2
3,,1,0,1,,,,,0,,,,,,,,1.2940297,,,,,,,,,,.24972601,0,0,1,1,3,,,22,2
3,,1,0,1,,,,,0,,,,,,,,1.2940297,,,,,,,,,,.24972601,1,1,1,1,3,,,22,2
3,,1,0,1,,,,,0,,,,,,,,1.2940297,,,,,,,,,,.24972601,1,0,0,1,3,,,22,2
3,,1,0,1,,,,,0,,,,,,,,1.2940297,,,,,,,,,,.24972601,1,0,1,0,3,,,22,2
3,,1,0,1,,,,,0,,,,,,,,1.2940297,,,,,,,,,,.24972601,1,1,0,0,3,,,22,2
3,,1,0,1,,,,,0,,,,,,,,1.2940297,,,,,,,,,,.24972601,1,1,0,0,3,,,22,2
3,,1,0,1,,,,,0,,,,,,,,1.2940297,,,,,,,,,,.24972601,1,1,0,0,3,,,22,2
3,,1,0,1,,,,,0,,,,,,,,1.2940297,,,,,,,,,,.24972601,1,1,0,0,3,,,22,2
3,,1,0,1,,,,,0,,,,,,,,1.2940297,,,,,,,,,,.24972601,0,1,0,1,3,,,22,2
